 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
And so we bid our hero a fond farewell as his ship once again bursts into light speed... course unknown.	就這樣，我們的英雄再度駕船衝上光速……航向未知，讓我們向他依依道別。
Well, it looks like you've depleted your power.  The last thing you see is your blood slowly spreading across the arena floor.	看來你的能量已經耗盡了。你看到的最後一幕，是自己的血緩緩在競技場地板上蔓延開來。
You and the Two Guys are separated and escorted away.  A door opens and you are led into the dark unknown.	你和仙女座雙傑被分開押走。一扇門打開，你被帶進一片黑暗未知之中。
The small pod is jarred by a sudden shock which triggers the Sleep Chamber's Revive Mode. As the glass shroud slides back, Roger slowly begins to regain consciousness.	這個小艙體突然被一陣震動搖晃，觸發了休眠艙的甦醒模式。隨著玻璃罩緩緩滑開，羅傑漸漸恢復了意識。
1. MINI MONOLITH~~~~ ...........................1.00 2. MONOLITH ................................2.00 3.   W/POLYCHEEZE ........................3.00 4. FILET-O-ORAT~~~ ..........................2.00 5. JUMBO MONOLITH W/POLYCHEEZE~ ......5.00 6. BIG BELCHER COMBO~~ .....................9.00     INCLUDES: JUMBO MONO W/POLYCHEEZE, SPACE SPUDS     W/EXTRA GREASE AND SLOPPY SLURPER 7. MONOLITH FUN MEAL ....................7.00 8. SPACE SPUDS~ ............................1.00  TANG 9.    SMALL .......................1.00 A.    MED~ .........................2.00 B.   ~~~~LARGE~~~ ......................3.00 C. SLOPPY SLURPER~~~ ............4.00	1. 迷你巨石堡~~~~ ...........................1.00 2. 巨石堡 ................................2.00 3.   加多層起司 ........................3.00 4. 歐拉獸魚排堡~~~ ..........................2.00 5. 特大巨石堡加多層起司~ ......5.00 6. 大打嗝套餐~~ .....................9.00     內含：特大巨石堡加多層起司、加量油炸太空薯條     及邋遢吸溜飲料 7. 巨石堡歡樂餐 ....................7.00 8. 太空薯條~ ............................1.00  果珍 9.    小 .......................1.00 A.    中~ .........................2.00 B.   ~~~~大~~~ ......................3.00 C. 邋遢吸溜~~~ ............4.00
Choose number to order	選擇編號來點餐
Press Q to quit	按 Q 鍵離開
Thank You	謝謝惠顧
Would you like something to drink with that?	要不要加點飲料？
Would you like some Space Spuds with that??	要不要加點太空薯條？
Would you like a Blattfruit Pie with that??	要不要加點布拉茲果派？
Special today: A free drink with every purchase!	今日特惠：每筆消費送一杯飲料！
Special today: A free Filet-O-Orat with every purchase!	今日特惠：每筆消費送一份歐拉獸魚排堡！
It costs one buckazoid.	這個要一枚太空幣。
The on-screen instructions explain all aspects of Astro Chicken.	螢幕上的說明會解釋《太空雞》的所有玩法。
Just be patient, the instructions will cycle through until you insert a buckazoid.	耐心等一下，說明畫面會不斷循環播放，直到你投入一枚太空幣為止。
Don't stand there gawkin', let's play some Astro Chicken!	別杵在那邊發呆了，來玩《太空雞》吧！
It appears to be in code.	這東西看起來是用密碼寫的。
If you only had a way to decode it...	要是你有辦法解碼就好了……
But you don't have any way to decode it.	但你沒有辦法解碼它。
There's no message here.	這裡沒有訊息。
the secret code goes something like this: a{{ b{{ c{{ d{{ e{{ f{{ g{ h{ i{{ j{{ k{{ l{{ m A B C D E F G H I J K L M  n{ o{ p{ q{ r{{ s{{ t{ u{ v{ w{ x{ y{ z N O P Q R S T U V W X Y Z	秘密密碼大概長這樣：a{{ b{{ c{{ d{{ e{{ f{{ g{ h{ i{{ j{{ k{{ l{{ m A B C D E F G H I J K L M  n{ o{ p{ q{ r{{ s{{ t{ u{ v{ w{ x{ y{ z N O P Q R S T U V W X Y Z
You don't have any way of doing that.	你沒有辦法這麼做。
Insert Buckazoid!	投入太空幣！
   ASTRO CHICKEN MUST LAND ON THE      ASTRO CHICKEN LANDING PAD.     HE'S DEPENDING ON YOU TO BRING          HIM TO SAFETY!	   太空雞必須降落在      太空雞降落台上。     牠可全靠你才能          平安降落！
Controls: Left arrow: move left Down arrow: stop left/right movement Right arrow: move right Up arrow: toggle flapping  Feed: don't use up all your feed!  Hit the landing pad too fast and you'll bounce back up.  Landing outside the landing pad is fatal.  If you fly too high you'll bounce off the atmosphere and plummet back to the surface.	操作方式：左方向鍵：往左移動　下方向鍵：停止左右移動　右方向鍵：往右移動　上方向鍵：切換拍動　飼料：別把飼料用光了！　降落速度太快會被彈回空中。　降落在降落台以外就死定了。　飛太高會撞上大氣層，摔回地面。
HELP US! WE ARE BEING HELD CAPTIVE BY SCUMSOFT ON THE SMALL MOON OF PESTULON.  AN INPENETRABLE FORCE FIELD SURROUNDS THE MOON.  IT MUST FIRST BE DEACTIVATED.  IT'S ORIGIN IS UNKNOWN TO US.  SCUMSOFT SECURITY IS ARMED WITH JELLO PISTOLS.  WE'RE COUNTING ON YOU WHOEVER YOU ARE.       TWO GUYS IN TROUBLE	救救我們！我們被廢渣軟體囚禁在佩斯圖倫的小衛星上。這顆衛星被一道無法穿透的力場包圍。必須先關閉這道力場才行。我們不知道它的來源。廢渣軟體的保全都配備果凍手槍。不管你是誰，我們都指望你了。       身陷麻煩的雙傑
Feed:	飼料：
You don't even have a buck.	你連一枚太空幣都沒有。
You are inside one of Mog's legs. There is an elevator shaft (complete with elevator) leading up into the interior.	你在莫格的其中一條腿內部。這裡有一座電梯井（附電梯），通往內部上方。
The elevator is at the bottom of the shaft. You see the elevator buttons on the south side of the elevator	電梯在電梯井的底部。你在電梯南側看到電梯按鈕。
Gee, one button says "Up" and one says "Down".	哎呀，一個按鈕寫著「上」，另一個寫著「下」。
You see the elevator shaft extending up into Mog's body.	你看到電梯井向上延伸進入莫格的身體。
It's a pretty ordinary elevator shaft.	這是個相當普通的電梯井。
Hey, just get on with it dude!	嘿，老兄，快點動作啦！
The elevator is already down.	電梯已經在下面了。
Just take the elevator.	搭電梯就對了。
Fester is riding up on the elevator.	費斯特正搭電梯上樓。
Fester is waiting impatiently for you to get on the elevator.	費斯特不耐煩地等你上電梯。
You don't see him here.	你在這裡沒看到他。
You are within the cavernous interior of Mog's belly. An elevator shaft leads down, and stairs run between the first and second level platforms. The heavy equipment necessary to automate Mog can be seen on the upper level.	你身處莫格體內的巨大空間。一道電梯井向下延伸，樓梯連接一樓與二樓平台。讓莫格自動運作所需的重型機械，在上層清晰可見。
They look just like stairs to me.	在我看來，這就是普通的樓梯。
The platform flooring is made up of a metalic mesh.	平台地板是用金屬網格鋪成的。
Through the metal grating, you can make out steel girders leading down into the darkness.	透過金屬格柵，你可以看見鋼樑向下延伸進入黑暗之中。
Looking up, you see girders and various pieces of machinery fading off into the darkness.	抬頭望去，只見鋼樑與各式機械逐漸隱沒在黑暗中。
You are within the interior of a giant robot-like statue.	你身處一座巨大機器人狀雕像的內部。
You see a lean, mean, fighting machine coming up elevator.	你看見一台精瘦、凶狠的戰鬥機器正搭電梯上來。
It looks like 750 pounds of fighting robot is headed your way.	看來有一台重達七百五十磅的戰鬥機器人正朝你逼近。
The terminator is now a pile of junk on the first level platform. %s	那台終結者現在成了一樓平台上的一堆廢鐵。%s
The terminator is now a pile of junk on the first level platform.	那台終結者現在成了一樓平台上的一堆廢鐵。
The large electric motor providing power for Mog's automation hums noisily away on the second level platform.	為莫格自動化系統供電的大型電動馬達，正在二樓平台上嗡嗡作響。
It appears that the gears provide the power linkage for the machinery moving Mog's arms and jaw. It seems that they haven't heard of OSHA here on Phleebhut. There isn't even a guard rail around them. I sure wouldn't want to fall in there!	這些齒輪似乎是驅動莫格手臂與下顎的動力連結裝置。看來弗利布特這裡沒聽過「勞工安全衛生」這回事，四周連個護欄都沒有。我可不想不小心摔進去！
